isv	pos	synonyms
delikatny		lagodny
demisija		odkazanje, ostavka
denny		dnevny
dentist		zubny lěkar
departament		odděl
deportacija		odvoženje
desety měsec		oktobr, rujenj
desnica		pravica
desnoruky		pravoruky
desny		pravy
detalj		podrobnost
detaljny		podrobny
detelina		koničina
devetsot		devetsto
devetsto		devetsot
devety měsec		septembr, vrěsenj
deviz		gaslo, motto
dezerter		prěběglik
deševy		nedragy
dialekt		narěčje
diamant		almaz
diametr		prěčnik
diapozitiv		slajd
diko		divo
dikost		divost, svirěpost
diky		burlivy, divy, svirěpy
diplomacija		diplomatija
diplomatija		diplomacija
dira		otvor
direktiva		směrnica
dirkovač		perforator, probijak
diskusija		debata, razprava
diskusijny		sporny
disonans		razlad
displej		ekran
diviti		udivjati
divny		kuriozny, stranny, čudny
divo		diko, čudo
divost		dikost, svirěpost
divy		burlivy, diky, svirěpy
dizajn		črtež
djabol		běs, djavol, črt
djabolsko		djavolsko
djabolsky		djavolsky
djavol		běs, djabol, črt
djavolsko		djabolsko
djavolsky		djabolsky
dlja		za
dnes		sego dnja, tutdenj
dnevnica		gostiljnja, sědiljnja
dnevny		denny
dnešnje		nyně, sejčasno
dnešnji		dnešny, nyněšnji, nyněšny, segdašnji, segdašny, segodenny, tutdenny
dnešny		dnešnji, nyněšnji, nyněšny, segdašnji, segdašny, segodenny, tutdenny
dno		spod
do dnes		dodnes
do dolu		na dol, vdol, vniz
do doma		domov
do gory		vgoru, vvrh
do časa		dotud
doba		epoha, era, obdobje, period
dobaviti		dodati, doložiti, pridati
dobavjati		dodavati, dokladati, pridavati
dobro		blago, v poredku
dobro jutro!		dobro utro!
dobro utro!		dobro jutro!
dobrobyt		blagostanje, dostatok
dobrodošli!		vitajte!
dobropogledny		krasivy, krasny, lěpy, prijemny
dobrost		dobrota
dobrota		dobrost, laska
dobrovoljec		ohotnik
dobročinnost		filantropija, člověkoljubje
dobyti		dostati, izigrati, iziskati, polučiti
dobyti ponovno		iziskati ponovno
dobytok		skot
dobyvati		dostavati, osvajati
dobyvati ponovno		iziskyvati ponovno
dodati		dobaviti, doložiti, pridati
dodatno		dodatočno
dodatny		dodatočny, dopolniteljny
dodatok		premija, pridatok, priloga
dodatočno		dodatno
dodatočny		dodatny, dopolniteljny
dodava		aplodovanje
dodavati		dobavjati, dokladati, pridavati
dodnes		do dnes
doganjati		dostigati
dogledati		prigledati
dogleděti		prigleděti
dognati		dostignuti, nastignuti, stignuti
dogoditi se		odbyti se, odigrati se, slučiti se, stati se
dogovor		soglasje, soglasnost, soglašenje, suglasje, suglasnost, suglašenje, ugovor
dohoditi		doježdžati
dojehati		pribyti
dojem		odtisk, vpečatljenje, vraženje
dojezd		prihod
doježdžati		dohoditi
dokladati		dobavjati, dodavati, pridavati
dokolě		dopoka, poka
dokonati		dokončiti, dovršiti, skončiti, sovršiti, zakončiti, završiti
dokonce		až, daže, navet
dokonyvati		dovršati, končati, sovršati, završati
dokončeny		doskonaly, dovršeny, idealny, sovršeny
dokončiti		dokonati, dovršiti, sovršiti, zakončiti, završiti
doktor		lěkar
dokud		kamo
dol		spod
dolgodenstvo		lětnji solncevrat
dolgost		dolžina
dolgota		dolžina
dolgověčnost		dolgoživost
dolgověčny		dolgoživostny
dolgočasiti		dosadžati, nuditi
dolgočasiti se		dosadžati se, nuditi se
dolgočasje		dosada, nuda
dolgočasny		dosadny, nudny
dolgoživeny		dolgoživostny
dolgoživost		dolgověčnost
dolgoživostny		dolgověčny, dolgoživeny
dolnolužičsky		dolnosrbsky
dolnosrbsky		dolnolužičsky
doložiti		dobaviti, dodati, pridati
dolžen		dolžny, povinen, povinny
dolžina		dolgost, dolgota
dolžina valy		dolžina volny
dolžina volny		dolžina valy
dolžiti		nastavjati, prodolžati
dolžnost		zadanje
dolžny		dolžen, povinen, povinny
doma		v domu
domašnje životno		domašnji zvěr
domašnji		domašny, domorodny, domovy
domašnji zvěr		domašnje životno
domašny		domašnji, domorodny, domovy
domněvati		mněvati, prědpokladati, prědpolagati
domorodny		domašnji, domašny
domov		do doma
domovina		matčina, otečstvo, otčina
domovy		domašnji, domašny
donesti		izvěstiti, uvědomiti
donositelj		informant
donositi		informovati, izvěščati, uvědamjati
dopis		pismo
dopisnik		dopisyvatelj, korespondent
dopisyvanje		korespondencija, prěpiska
dopisyvatelj		dopisnik, korespondent
dopoka		dokolě, poka
dopolniteljny		dodatny, dodatočny
dopolnjenje		prědmet
dopustimy		dozvolimy, pozvolimy
dopustiti		dozvoliti, pozvoliti, pripustiti
dopuščati		dozvaljati, pozvaljati, pripuščati
dorastati		vozrastati
dorasti		vozrasti
dorastla		vozrastla
dorastlost		vozrastlost
dorastly		dozrěly, dozrěny, vozrastly
dorazuměvanje		komunikacija, sporazuměvanje
dorazuměvati se		soobčati se
doručati		dostavjati, prědavati, vručati
doručiti		dostaviti, prědati, vručiti
dosada		dolgočasje, nuda
dosadny		dolgočasny, nudny
dosadžati		dolgočasiti, nuditi
dosadžati se		dolgočasiti se, nuditi se
dosegati		dostigati
dosegnenje		doseženje
dosegnuti		dostignuti
doseženje		dosegnenje
doskonaliti		vozvršati
doskonalost		sovršenost
doskonaly		dokončeny, idealny, sovršeny
doslovno		bukvalno
doslovny		bukvalny
dost		dostatočno, dosyta, dovoljno
dostati		dobyti, polučiti, prijeti
dostatok		blago, blagostanje, bogatost, bogatstvo, dobrobyt
dostatočno		dost, dosyta, dovoljno
dostatočny		dovoljny
dostava		daunlodovanje
dostavati		daunlodovati, dobyvati, iziskyvati, polučati
dostaviti		doručiti, prědati, vručiti, zabezpečiti
dostavjati		doručati, prědavati, vručati
dostavka i popytka		popytka i dostavka
dostigati		doganjati, dosegati
dostignuti		dognati, dosegnuti, nastignuti, stignuti
dostojenstvo		dostojnost, gordost, red, zvanje
dostojnost		dostojenstvo, gordost
dostojny		godny, považeny, vidny
dostup		pristup
dosyta		dost, dostatočno, dovoljno
dotacija		subvencija
dotknuti		tknuti
dotud		do časa
dotykati		tykati
dovezti		vvezti
dovnutra		v, vo
dovod		argument, povod, pričina, razlog
dovoljno		dost, dostatočno, dosyta
dovoljny		dostatočny
dovoz		import, vvoz
dovoziti		importovati, vvoziti
dovršati		dokonyvati, končati, sovršati, završati
dovršenost		cělost, kompletnost, popolnost
dovršeny		dokončeny, kompletny
dovršiti		dokonati, dokončiti, skončiti, sovršiti, zakončiti, završiti
dověriti		pověriti
dověriti se		svěriti se
dověrjati		pověrjati
dověrjati se		svěrjati se
dověrje		dověrjenje
dověrjenje		dověrje
dozad		nazad, nazadno, pozadu, vzad
dozor		obhod
dozrěly		dorastly, dozrěny, vozrastly, zrěly
dozrěny		dorastly, dozrěly, zrěly
dozrěvati		zrěti
dozvaljaje se		pozvaljaje se
dozvaljati		dopuščati, pozvaljati, pripuščati
dozvolimy		dopustimy, dozvoljeny, pozvolimy
dozvoliti		dopustiti, pozvoliti, pripustiti
dozvoljeny		dozvolimy, pozvolimy
dočasny		medžučasny, prědběžny, prěhodny, vrěmenny, začasny, časovy
dočera		dočerka, doči
dočerka		dočera, doči
doči		dočera, dočerka
doždevy		doždlivy
doždlivy		doždevy
drabina		lěstvica
draga		put
dragy		mily
dražlivy		razdražlivy
dražniti		razdražnjati
drgati		držati, trepetati
drkanje		masturbacija
drkati		masturbovati
drob		ulomok
drobiti		krošiti, razdrobjati
drobjenec		gruby pěsok
drobny		malenjky, maly
droždže		kvas
droždževy		kvasny
drti		drěti, razdirati, rvati
drti grlo		drěti grlo
drug		prijatelj
drugar		tovariš
drugoredny		sekundarny, vtorny
drugy		iny, vtory
družba		prijateljstvo
družina		ekipa, komanda
družka		prijateljka
družny		prijateljsky, privětlivy, spolny
družstvo		spoločenstvo
drvosěk		drěvorub
drzky		směly
drzost		smělost
drěmlivy		zaspany
drěmnuti		pospati, sdrěmnuti
drěti		drti, razdirati, rvati
drěti grlo		drti grlo
drěvny		davny, nepametny, starodavny
drěvorub		drvosěk
držak		držalo, držka, rukojet, ručka
držalo		držak, držka, rukojet, ručka
držati		drgati, trepetati, trimati
držati se něčego		trimati se nečego
država		kraj, strana, štat
držka		držak, držalo, rukojet, ručka
dudar		gajdar
dudy		gajdy, volynka
duel		dvoboj, pojedinok
duh		prividěnje, prizrak, razsudok, razum, um
duhovnik		svečennik, žrec
dumati		mněti, mněvati, razmysljati, razvažati
dupa		prdak, rit, zadnica, žopa
dupja		duplo
duplo		dupja
durenj		balvan, glupec
durno		glupo
durnost		glupost
durny		glupy, neumny
durěti		glupěti
duty		pusty
duševny		mentalny, mysljenny
dušiti		daviti
duže		mnogo, velje
duži		ogromny, veliky, vely
dvadeset		dvadeseti
dvadeseti		dvadeset
dvanadsety měsec		decembr, dekembr, sněženj
dvasto		dvěstě
dveri		vrata
dverna ručka		vratny držak
dvernik		vratar, vratnik
dviženje		hod, ruh
dvoboj		duel, pojedinok
dvojaky		obojaky
dvojina		dvojstveno čislo
dvojiti		podvajati
dvojka		para
dvojny		dvukratny
dvojstveno čislo		dvojina
dvojčany		binarny
dvojče		bliznec
dvojčeta		blizneci
dvorjan		aristokrat, dvorjanin, šljahtič
