isv	pos	synonyms
sputnik		satelit
spuščati		izpuščati, opuščati, puščati, uvaljnjati
spytati		sprositi, zapytati
spěvanje		pěvanje
spěšny		nasučny, neodložny
sram		bezčestje, sramota, styd, zazor
sramežlivy		nesměly
sramiti		zasramjati
sramny		bezčestny, sramotny
sramota		bezčestje, sram, styd, zazor
sramotny		bezčestny, sramny
srazumělost		razumlivost, razumějemost
srazuměti		pojeti, postignuti, razbrati
srbohrvatsky		srbskohrvatsky
srbolužičan		srbolužičanin
srbolužičanin		srbolužičan
srbskohrvatsky		srbohrvatsky
srdcevina		jedro
srditi		gněvati, zlobiti
srdity		gněvny, zly
srdnost		gněv, ozlobjenje, zloba, zlost
srodnik		pokrovnik
srodny		pokrovny, rodstveny, spokrovnjeny
srodstvo		podobnost, pokrovnost, rodstvo, shodnost
srpenj		avgust, osmy měsec
srst		futro, krzno
srubati		odrubati, odsěkti
srubyvati		odrubyvati
sruinovati		razoriti, razrušiti, razvaliti, uniščiti
sručny		izkusny, sposobny, umny
srěd		medžu, posrěd, vsrěd
srědina		osrědok
srědišče		centr, osrědok
srědnji		centralny, srědny
srědnji iztok		blizky iztok, blizky vozhod, srědnji vozhod
srědnji vozhod		blizky iztok, blizky vozhod, srědnji iztok
srědny		centralny, srědnji
srědstvo		lěk, lěkarstvo
stabilnost		stalost
stabilny		staly
stadija		etap, faza, stupenj
stado		pastva, črěda
stalj		ocelj, čelik
stalost		stabilnost
stalovy		oceljevy, čeličny
staly		bezprěryvny, postojanny, stabilny
stan		lager, tabor
standard		měrilo
stanje		kondicija, status
stanovišče		gledišče, odnošenje, položenje, pozicija, razpoloženje, točka zrěnja
staranno		ostražno
staranny		usrdny
starati se		siliti se, tužiti se
starinny		starodavny
starodavny		davny, drěvny, nepametny, pradavny, starinny
starějši		starši
starši		starějši
stati se		dogoditi se, odbyti se, odigrati se, slučiti se
statija		paragraf, članok
status		stanje
statut		ustav
staviti		postavjati, stavjati, uměščati
stavjati		postavjati, staviti, uměščati
steklnik		teplica
steklěna čaša		skljanka
steliti		stlati
stepny		stepovy
stepovy		stepny
sterilny		bezplodny
stežka		put
stigati		proganjati, prěslědovati
stignuti		dognati, dostignuti, nastignuti
stih		redok, verš
stil		stilj
stilj		stil
stiljny		stilny
stilny		stiljny
stimulacija		pobudženje
stimulovati		pobudžati
stiskati		tiskati
stisknuti		tisknuti
stlati		steliti
stodola		ambar, plěvnja
stojati		koštovati
stojišče		kiosk
stojka		opora, podpor, podporka, poza
stol		krěslo, stolka, stul
stolica		glavny grad
stolka		stol, stul
stolny tenis		ping-pong
stolova		kafeterija, kantina
stolp		kolona
stolětje		věk
stonati		ohati
stopjenje		slivanje
stotina		sotina
stoty		sotny
stradati		trpěti
strah		bojaznj, postrah, užas
strahlivec		zajec
strahlivo		bojazlivo, zaječlivo
strahlivost		zaječlivost
strahlivy		bojazlivy
strana		bok, država, kraj, krajina, oblast, region, štat
strannik		adept, podpornik, poslědovatelj, privrženec
stranny		divny, čudny
strašeny		prěstrašeny
strašilo		strašilo za ptice
strašilo za ptice		strašilo
strašno		prokleto, užasno
strašny		grozny, užasny
strekoza		važka
strigti		ostrigati
strimati		sodržati, udržati, zadržati, zatrimati
strimyvati		sodrživati, zadrživati, zatrimyvati
strogo		težko
strogy		težky
stroj		red, sistema, sustav, ustroj, ustrojstvo
strojiti		uredžati
struja		tečenje, tok
struktura		ustroj, ustrojstvo
stryjenka		tetenka, tetka
strěgti		hraniti, ohranjati
strěha		pokryv
strělec		strělnik
strělnik		strělec
strěsti		sustrěsti
strěsti se		sojdti se
strětenje		shodka, sobranje, sustrěča
strěčati		sustrěčati
studeny		hladny, zimny
studiovati		izučati
studiti		hladiti
studnja		kladec, kladez
stul		krěslo, stol, stolka
stupenj		etap, měra, stadija
stupnica		gama, skala, zvukored, škala
stvar		dělo, kvestija, prědmet, věč
stvarjati		sozdavati, tvoriti
stvarno		istinno, napravdu, zaisto, zapravdu
stvarnost		istinnost, java, realnost
stvarny		istinny, pravdivy, realny
stvoriti		iztvoriti, sozdati
styd		sram, sramota, zazor
stěnj		těnj
substancija		tvorivo
subtitry		podnapisy
subvencija		dotacija
sudba		prěznačenje
sudja		arbiter
sudženje		razsudženje, vyrok
suglasiti se		soglasiti se
suglasje		dogovor, soglasje, soglasnost, soglašenje, suglasnost, suglašenje, ugovor
suglaska		konsonant, soglaska
suglasno		po, podolg, sgodno s, soglasno
suglasnost		dogovor, soglasje, soglasnost, soglašenje, suglasje, suglašenje, ugovor
suglasny		soglasny
suglašati se		soglašati se
suglašenje		dogovor, soglasje, soglasnost, soglašenje, suglasje, suglasnost, ugovor
suhar		kreker
suistnovanje		koegzistencija
sujevěrje		pověrje, prazdnověrje, zabobonnost
suka		psica
sumniteljny		sumnlivy
sumnlivy		podzrěny, sumniteljny
sumrkati se		mračiti se
suměstimost		kompatibilnost
suměstimy		kompatibilny
suočati se s		soočati se s
suočiti se s		soočiti se s
supa		polivka
super-		nad-, svrh-
supermarket		samoobsluga
supernik		konkurent, razlučnik
superničstvo		kompeticija, konkurencija
suprovadžati		akompanovati, eskortovati
suprovodženje		akompanement
suprug		muž
supruga		žena
surabota		kooperacija, surabotničstvo, sutrudničstvo
surabotati		kooperovati, spolupracovati, spolurabotyvati, sutruditi
surabotničstvo		kooperacija, surabota, sutrudničstvo
surazměrnost		simetričnost
surazměrny		simetričny
surovy		žestoky
surpriz		udivjenje
sustav		sistema, stroj, ustroj, ustrojstvo
sustradanje		sužalost
sustrěsti		strěsti
sustrěča		sbor, shodka, sobranje, strětenje
sustrěčati		strěčati
susědno do		podle, pored, vodle
susědny		okoličny, prilegly
suteren		pivnica, podval
sutruditi		kooperovati, spolupracovati, spolurabotyvati, surabotati
sutrudničstvo		kooperacija, surabota, surabotničstvo
sutstvo		jestestvo, sučnost
sutstvovati		byti, egzistovati, istnovati, jestvovati, obstajati
suznačny		jednoznačny
sučasnik		sovrěmennik
sučasnost		sovrěmennost
sučasny		moderny, sovrěmenny
sučnost		jestestvo, sutstvo
sučstveno		značno
suša		bezdoždje
sušiti		osušati
sužalost		sustradanje
svabiti		privabiti
svariti		skuhati
svatba		svatbena zabava
svatbena obručka		obručka
svatbena zabava		svatba
svatbeny		omuženy, oženjeny
svatbeny kostjum		svatbeny oděv
svatbeny oděv		svatbeny kostjum
svetiti		osvečati
svetok		prazdnik
svetočny		prazdničny
svetr		pulover
svez		asociacija, sjedinjenje, sojuz, svezok, unija
svezati		povezati, sjediniti
svezok		odnošenje, svez, vezka, vuzol
svezyvati		povezyvati, sjedinjati, vezati
svezyvati šnurom		vezati šnurom
svečennik		duhovnik, žrec
svila		jedvab, šolk
svinec		olovo
svirěpost		dikost, divost, ljutost, okrutnost, zvěrstvo
svirěpy		diky, divy, kruty, okrutny, zvěrsky
svistak		svišč
svitanje		razsvět, zorja
sviti		splesti
svišč		svistak
svobodno vrěme		voljny čas
svobodnomysljny		liberalny
svobodny		voljny
svod		luk
svojevlastny		samovoljny, svojevoljny
svojevoljny		samovoljny, svojevlastny
svojevrěmenno		včasno
svojevrěmennost		aktualnost, včasnost
svojevrěmenny		včasny
svojnost		imutok, iměnje, sobstvenost, vlastničstvo, vlastnost
svojsky		osoblivy, specifičny
svojstvo		osoblivost, črta
svratno		obratno
svratny		obratny
svrh-		nad-, super-
svrček		cvrček
svědomje		sověst
svědomy		pritomny
svěriti se		dověriti se
svěrjati se		dověrjati se
světilka		lampa
světilnik		majak
světlny god		světlny rok
světlny rok		světlny god
světlo luny		lunno světlo, měsečno světlo, světlo měseca
světlo měseca		lunno světlo, měsečno světlo, světlo luny
světlodioda		led
světlofor		semafor
světly		jarky, jasny
sčet		izčisljenje, konto, rahunok, učet
sčisliti		sčitati
sčitanje naseljenja		prěpis naseljenja
sčitati		sčisliti
sčityvati		čisliti
sědališče		krěslo
sědiljnja		dnevnica, gostiljnja
sědnuti		sěsti
sědy		sivy, sěry
sěkati		rubati, rězati, sěkti
sěkti		rubati, rězati, sěkati
sěme		sperma
sěmejny		rodinny
sěmejstvo		rodina, sěmja
sěmja		rodina, sěmejstvo
sěry		sivy, sědy
sěsti		sědnuti, usěsti
sět		mrěža, sětka
sětka		mrěža, sět
sěveroatlantičsky alians		organizacija sěveroatlantičskogo dogovora
sěveroiztok		sěverovozhod
sěveroiztočny		sěverovozhodny
sěverovozhod		sěveroiztok
sěverovozhodny		sěveroiztočny
sěča		bitva, boj, masakra
sěčenj		januar, prvy měsec
sžety		kratky, kusy, sožety
tabak		kurivo, tjutjun
tabletka		pilulka
tabor		lager, stan
tadžiksky		tadžičsky
tadžičsky		tadžiksky
tajemny		tajenstveny, zagadočny
tajenstveny		tajemny, zagadočny
tajenstvo		sakrament
tajna		sekret
tajna služba		razvědka
tajnica		sekretarka
tajnik		sekretar
tajno		skryto
tajny		sekretny, skryty
tak		ovako, tako, takto
tako		ovako, tak, takto
tako kako		kako by
tako mnogo		onoliko, seliko, toliko
tako rěčeny		tako zvany
tako skoro kako		kako toliko, čim
tako zvany		tako rěčeny
takovy		onaky, ovaky, taky
takože		tož
takto		dakle, ovako, tak, tako, zatom
taky		onaky, ovaky, takovy
talent		dar
tam		onde, tamo
tamo		onamo, tam, tudy
tamošnji		tamošny
tamošny		tamošnji
tamto		to
tamtoj		onoj, toj
tancevati		plesati
tanec		dansing
tegati		tegnuti, vlačiti, vlěkti
tegnuti		tegati, trgati, vlačiti, vlěkti
tele		teletko
teletko		tele
televiděnje		televizija
televizija		televiděnje
tema		prědmet
temnica		tjurma, vezenje, zaključiljnja, zatvor
temnolavandovy		fioletovy, purpurny
temnost		mrak, temnota, tma
temnota		mrak, negramotnost, neznanje, temnost, tma
temny		mračny
temněti		mrknuti
temperatura		teplota
tendencija		sklonnost, trend
tenky		hudy, tonky
teolog		bogoslovec
teologija		bogoslovje
teplica		steklnik
teplo		gorečnja
teplota		temperatura
terapija		ozdravjenje
teritorialno		ozemisko
teritorialny		ozemisky
teritorija		ozemja
termin		izraz
test		izkus, proba
testament		zavět, zavěčanje
testovati		izpytyvati
tetenka		stryjenka, tetka
tetka		stryjenka, tetenka, ujenka
teznitelj		prokuror
tečenje		struja, tok
tečnost		běglost
tečny		běgly, plavny
težba		žaloba
težina		vaga
težko		seriozno, strogo
težkost		trudnost
težky		bolěsny, seriozny, strogy, trudny
ti		tobě
tigr		tigris
tigris		tigr
tiho		spokojno
tihy		bezšumny, spokojny
tinejdžer		podrastok
tip		hlapec, rod, sort, vid
tipka		klaviša
tipkovna grěška		pečatna grěška
tipkovnica		klaviatura
tir		kamion
tiran		nasilnik
tiskarstvo		pečatarstvo
tiskati		stiskati
tisknuti		stisknuti
tišina		bezšumnost, spokojstvo
tjurma		temnica, vezenje, zaključiljnja, zatvor
tjutjun		kurivo, tabak
tknuti		dotknuti, phnuti
tknuti se		odnesti se k
tlo		fon, podklad, podloga, pozadje
tma		mrak, temnost, temnota
to		tamto, tuto
toalet		klozet
tobě		ti
togda		onogda, onogdy, ovogda, ovogdy, togdy, vtogda, vtogdy
togdy		onogda, onogdy, ovogda, ovogdy, togda, vtogda, vtogdy
toj		ov, sej, tamtoj, tutoj
tok		struja, tečenje
tolerancija		trpimost
tolerantny		trpimy
toliko		jedino, le, onoliko, ovoliko, samo, seliko, tako mnogo
tolikrat		selikrat
tolmač		prěkladatelj, prěvoditelj
tolmačenje		prěklad, prěvod, prěvodženje
tolmačiti		prěkladati, prěvoditi
tolpa		gromada, sjem
tolsty		brjuhaty, debely
tomat		pomidor
tomu		nazad, slědovateljno, zato, zatom
tomu že		ibo, jer, jerbo, poneže, zato že, zatože
tonky		hudy, tenky
topiti		razpuščati, raztapjati
torba		měšek, vrěča
tors		kadolb, tulov
totalny		cělkovity
totožny		identičny, jednakovy
tovariš		drugar
tovarna		fabrika, zavod
točiti		brusiti, krutiti, kružiti, obračati, ostriti, povrtati, vrtěti
točiti se		děti se, krutiti se, kružiti se, odbyvati se, odigryvati se
točka		punkt
točka s komoju		točka s zapetoju
točka s zapetoju		točka s komoju
točka zrěnja		gledišče, stanovišče
točno		akurat
točnost		akuratnost
točny		akuratny
tož		takože
tradicija		prědanje
tragedija		neščestje
trajati		trvati
trajny		trvaly
transparent		zname
trasa		maršrut
trata		razhod
tratiti		gubiti, raztračati, utračati
travenj		maj, pety měsec
travimy		varlivy
travjenje		varjenje
travojed		rastlinožerec
travojedny		rastlinožerny
trbuh		brjuho
trbušny		brjušny
trend		směr, tendencija
trening		obučenje
trepetati		drgati, držati
tresti		hvějati, klatiti, voztresati
tretji měsec		brězenj, marec
trevoga		alarm, bojaznj
trevožiti		nepokojiti, smučati
trevožiti se		bezpokojiti se, nepokojiti se
trevožny		smučeny, zanepokojeny
trgati		naryvati, rvati, tegnuti
trgovanje		biznes, trgovja
trgovec		kupec
trgovja		trgovanje
trgovy		komercialny
trideset		trideseti
trideseti		trideset
trik		fokus, lest
trikutnik		trivugolnik
trimati		držati
trimati se nečego		držati se něčego
trista		tristo
tristo		trista
trivugolnik		trikutnik
trohu		malo, nemnogo, nemnožko, slegka, trohy
trohy		malo, nemnogo, nemnožko, slegka, trohu
tron		prěstol
trotuar		hodnik
trpimost		tolerancija
trpimy		tolerantny
trpělivost		trpěnje
trpěnje		trpělivost
trpěti		stradati
trti		trěti
truba		cěvka
trubkozub		mravojed
trud		natuga, praca, rabota, usilje
trudnost		težkost
trudny		težky
trudoljubivo		marlivo, pracovito
trudoljubivost		marlivost, pracovitost, trudoljubje
trudoljubivy		marlivy, pracovity, usrdny
trudoljubje		marlivost, pracovitost, trudoljubivost
trup		mrtvec
trvaly		trajny
trvati		trajati
trěbovati		byti dolžen, imati, iměti, morati, musěti
trěti		trti
tu		ovde, sde, tut
tu i tam		poněkde
tudy		tamo
tuga		skrb, smutok
tugy		jedrny, krěpky, tvrdy
tuk		salo
tulov		kadolb, tors
tut		ovde, sde, tu
tutdenj		dnes, sego dnja
tutdenny		dnešnji, dnešny, segodenny
tuto		to
tutoj		ov, sej, toj
tutovo drěvo		morva
tutošnji		sdešnji, sdešny, tutošny
tutošny		sdešnji, sdešny, tutošnji
tutčas		nyně, segda, segdy, sejčas, sejčasno, v tutom momentu
tutčasno		sejčasno, směsta
tutčasny		nastoječi, nyněšnji, nyněšny, segdašnji, segdašny, sejčasny
tuš		črnilo
tužiti		skrběti
tužiti se		siliti se, starati se
tvor		tvorba
tvorba		tvor
tvorec		tvoritelj, zaroditelj
tvoritelj		tvorec, zaroditelj
tvoriteljnik		instrumental, tvoriteljny padež
tvoriteljny padež		instrumental, tvoriteljnik
tvoriti		sozdavati, stvarjati
tvorivo		material, substancija
tvorčestvo		kreativnost
tvorčji		kreativny
tvrdnuti		tvrděti
tvrdoglavy		nepodatlivy, neustuplivy, neustupny, norovisty, uporny
tvrdy		tugy
tvrděti		tvrdnuti
tvrdža		krěpost
tydenj		sedmica
tydnjevo		sedmično
tydnjevy		sedmičny
tykalo		antena
tykati		dotykati
tykati se		odnositi se k
tym ne menje		jednako, jednakože, jednakže
tysečlětje		tysečročje
tysečročje		tysečlětje
tělo		plot
tělo samoleta		fjuzelaž
těnj		stěnj
těsnina		jar
těsny		vuzky
těšiti se iz		nasladžati se, radovati se
ubiti		umrtviti
ubivati		umrtvjati
ubogy		bědny, nebogy
ubrus		ručnik
uběditi		uvěriti
uběditi se		uvěriti se
ubědlivy		ubědžajuči
ubědžajuči		ubědlivy
ubědžati		uvěrjati
ubědžati se		uvěrjati se
ubědženost		uvěrjenost
uběgati		izběgati, odtěkati, utěkati
uběgti		izběgti, odtekti, utekti
udaliti		oddaliti, odstraniti
udaljati		oddaljati, odstranjati
udaljenost		dalj, razstojanje
udariti		poraziti
udarjati		biti, raziti
udarjenje		akcent
udav		boa
udaviti		udušiti
udača		uspěh
udačlivy		udačny, uspěhlivy, uspěšny, ščestlivy, ščestny
udačno		uspěšno
udačny		udačlivy, uspěhlivy, uspěšny
udiviteljny		udivjajuči, zahvačajuči
udiviti		začuditi
udivjajuči		udiviteljny
udivjati		diviti
udivjati se		čuditi se
udivjenje		surpriz
udobno		komfortno, vygodno
udobnost		komfort, udobstvo, vygoda
udobny		komfortny, vygodny
udobstvo		komfort, udobnost, vygoda
udoskonaliti		vozvršiti
udržati		strimati, zadržati
udrživati		zadrživati
udušiti		udaviti
uděl		děl, poděl, učestje, učestničstvo
ugadati		odgadati
ugadyvati		odgadyvati
ugleděti		uzrěti
ugodny		prijatny, prijemny
ugovor		dogovor, soglasje, soglasnost, soglašenje, suglasje, suglasnost, suglašenje
ugryzti		kusnuti, ukusiti
uho		uško
uhoditi		odhoditi
uj		ujec
ujdti		odidti
ujec		uj
ujediniti		objediniti, sjediniti
ujehati		odjehati
ujenka		tetka
ujeti		smenšiti, umenšiti
uježdžati		odježdžati
ujmati		smenšati, umenšati
ukaz		dekret, postanovjenje
ukazati		označiti, pokazati
ukazyvati		izstavjati, naznačati, označati, pokazyvati
ukradženje		kradež, kradža
ukrasiti		ozdobiti
ukrašati		krasiti, ozdabjati
ukrašenje		dekoracija, ozdoba
ukrotiti		odomašniti
ukryti		shovati, skryti, zakryti
ukrytje		skryvališče
ukryty		skryty
ukryvati		hovati, kryti, skryvati
ukrěpiti		podkrěpiti, usiliti, utvrditi
ukrěpjati		krěpiti, podkrěpjati, usiljati, utvrdžati
ukusiti		kusnuti, ugryzti
ulagadžati		uspokajati
ulagoditi		uspokojiti
ulegšati		oblegčati
ulegšiti		oblegčiti
uletěti		odletěti
ulomok		drob, odlomok
ulučati		izkoristyvati
ulučiti		izkoristati, izkoristiti
ulučšati		ulěpšati
ulučšenje		ulěpšenje
ulučšiti		ulěpšiti
ulěpšati		ulučšati
ulěpšenje		ulučšenje
ulěpšiti		ulučšiti
ulětati		odlětati
um		duh, razsudok, razum
umarjati		moriti
umenšati		smenšati, ujmati
umenšiti		smenšiti, ujeti
umnik		intelektual
umno		razumno
umny		intelektualny, izkusny, razsudny, razumny, sručny
umoljati		izprašati
umoriti		izmoriti, izčrpati
umorjenje		umorjenost, ustalost
umorjenost		umorjenje, ustalost
umorjeny		ustaly, utomljeny
umrly		pokojny, umrěly
umrti		umrěti
umrtviti		ubiti, usmrtiti
umrtvjati		ubivati, usmrčati
umrěly		pokojny, umrly
umrěti		umrti
umysl		naměr, zamysl
umyslno		naměrno, naročito
umyslny		naměrny, naročity
umyvati		myti
uměriti		uspokojiti
uměstiti		poměstiti, vměstiti
uměstny		naležity, odgovarjajuči, prigodny, vlastny
umětnica		hudožnica
umětnik		artist, hudožnik
umětničsko		hudožno
umětničsky		artističny, hudožny
umětnost		hudožstvo
umětny		neprirodny, štučny
uměščati		poměščati, staviti, stavjati
uměščenje		městopoloženje
unarodnjati		nacionalizovati
unarodnjenje		nacionalizacija
unemožniti		odvratiti, prěduprěditi
unemožnjati		prěduprědžati
uneviniti		opravdati
unevinjati		opravdyvati, uspravědlivjati
unija		sojuz, svez
unikalny		jedinstveny
uniziti		poniziti, upokorniti
uniščenje		izniščenje, niščenje, opustošenje, razorjenje, razrušenje
uniščiti		izgubiti, izniščiti, razoriti, razrušiti, sruinovati
unižajuči		ponižajuči
unižati		ponižati, upokarnjati
uniženje		poniženje
unižnost		pokornost
uosobjenje		personifikacija, vtěljenje
upad		propast
upadok		propast, spad
upakovati		opakovati, spakovati, zapakovati
upakovyvati		opakovyvati, pakovati, zapakovyvati
upasti		pasti, spasti
upekti		izpekti
upiti se		napiti se, opiti se
upity		hmeljny, netrězvy, pijany
upivati se		napivati se, opivati se
upokarnjati		ponižati, unižati
upokorniti		poniziti, uniziti
upolnomočiti		opravniti
uporny		nepodatlivy, neustuplivy, neustupny, norovisty, tvrdoglavy
upotrěba		upotrěbjenje, uživanje
upotrěbimy		koristny
upotrěbitelj		koristnik
upotrěbiti		izkoristati, priměniti, užiti
upotrěbjati		koristati, koristiti, poljzovati, priměnjati, uživati
upotrěbjenje		upotrěba, uživanje
uprava		administracija, rukovodstvo, upravjenje
upraviti		nastaviti
upravjati		administrovati, nastavjati, rukovoditi, zavědyvati
upravjenje		administracija, rukovodstvo, uprava
upyr		vampir
uravenj		rang
uravniti		izravniti, poravniti
uravnjati		izravnjati
uraza		obida
uraziti		obiděti
uražati		obidžati
ured		ofis
urediti		oporedčiti, ustrojiti
urednik		činovnik
uredžati		oporedčati, strojiti, ustrajati
urod		čudovišče
uroditi		naroditi, poroditi
urodlivy		bridky, nekrasny, skaredny
urodžaj		sbože
urodženje		narodženje, rodženje
urok		zaklinanje, čary
uryvati		rvati
urěkati		zaklinati
urěkti		zakleti, začarovati
urězati		odrězati, odsěkti
urězyvati		odrubyvati, odrězyvati, odsěkati
usiliti		podkrěpiti, ukrěpiti, utvrditi
usiljati		krěpiti, ukrěpjati, utvrdžati, vozsilovati
usilje		napor, natuga, trud
uslovje		okolnost
usložniti		osloženiti, otegčiti, otrudniti, skomplikovati, utežiti, utrudniti
usložnjati		komplikovati, osloženjati, otegčati, otrudnjati, utežati, utrudnjati
usluga		blagomilost, servis
usmrtiti		umrtviti
usmrčati		umrtvjati
usnuti		zasnuti, zaspati
usohnuti		obsohnuti
uspokajati		ulagadžati
uspokojiti		ulagoditi, uměriti
uspravědliviti		opravdati
uspravědlivjati		opravdyvati, unevinjati
uspravědlivjenje		opravdanje
uspěh		udača
uspěhlivy		udačlivy, udačny, uspěšny
uspěšno		udačno
uspěšny		udačlivy, udačny, uspěhlivy
usrdny		marlivy, pracovity, staranny, trudoljubivy
ustaliti		utvrditi
ustalost		umorjenje, umorjenost
ustaly		umorjeny, utomljeny
ustanavjati		ustavjati, zakladati
ustanovitelj		osnovatelj, zaroditelj
ustanoviti		ustaviti, založiti
ustati		prěstati
ustav		harta, konstitucija, statut
ustavati		prěstavati
ustaviti		nastaviti, opraviti, postaviti, ustanoviti
ustavjati		nastavjati, postavjati, ustanavjati
ustavjenje		nastavjenje
ustavny		konstitucijny
ustje		estuarij
ustrajati		uredžati
ustrica		ostriga
ustroj		sistema, stroj, struktura, sustav, ustrojstvo
ustrojitelj		organizator
ustrojiti		urediti
ustrojstvo		organizacija, sistema, stroj, struktura, sustav, ustroj
ustupati		odstupati
ustupiti		odstupiti
ustupjenje		odstup, ostavka
usyhati		izsyhati
usěsti		sěsti
utekti		izběgti, iztekti, odtekti, uběgti
utežati		komplikovati, osloženjati, otegčati, otrudnjati, usložnjati, utrudnjati
utežiti		osloženiti, otegčiti, otrudniti, skomplikovati, usložniti, utrudniti
utirati		obtirati
utišati		otišati
utišiti		otišiti
utomljeny		umorjeny, ustaly
utrata		izguba
utratiti		izgubiti
utratiti se		izgubiti se
utračati		gubiti, tratiti
utračati se		gubiti se
utračati vrěme		utračati čas
utračati čas		utračati vrěme
utrišnji		jutrišnji, jutrišny, utrišny
utrišny		jutrišnji, jutrišny, utrišnji
utro		jutro
utrti		obtrti, obtrěti, odtrti, odtrěti, utrěti
utrudniti		osloženiti, otegčiti, otrudniti, skomplikovati, usložniti, utežiti
utrudnjati		komplikovati, osloženjati, otegčati, otrudnjati, usložnjati, utežati
utrěti		obtrti, obtrěti, odtrti, odtrěti, utrti
utvrditi		odobriti, podkrěpiti, ukrěpiti, usiliti, ustaliti
utvrdžati		krěpiti, podkrěpjati, ukrěpjati, usiljati
utěkati		izběgati, iztěkati, odtěkati, uběgati
utělesniti		voplotiti
utělesnjati		vopločati
uvaga		pozornost, vnimanje, čuvanje
uvaljnjati		izpuščati, izvaljnjati, odstranjati, osvobadžati, puščati, spuščati
uvaljnjati se		osvobadžati se
uvažanje		povaga, považanje, respekt
uvažati		považati, razsmatrjati, čestiti, čtiti
uvedati		obsyhati, vednuti
uveličati		povyšati
uveličenje		povyšenje
uvertura		prědigra
uviděti		uzrěti
uvoljniti		izpustiti, izvoljniti, odstraniti, osvoboditi, spustiti
uvoljniti se		osvoboditi se
uvoljniti se od		osvoboditi se od
uvularny		jezyčkovy
uvědamjati		donositi, informovati, izvěščati, soobčati
uvědomiti		donesti, izvěstiti, soobčiti
uvědomjenje		informacija, vědomost
uvědomjeny		informovany
uvěriti		uběditi
uvěriti se		uběditi se
uvěrjati		ubědžati
uvěrjati se		ubědžati se
uvěrjeno		isto
uvěrjenost		ubědženost
uvěrjeny		isty
uzbeksky		uzbečsky
uzbečsky		uzbeksky
uzdravitelj		lěčitelj
uzdraviti		izcěliti, izgojiti, izlěčiti, ozdraviti
uzdravjati		izcěljati, lěčiti, ozdravjati
uznanje		poznanje, priznanje
uznati		poznati, priznati
uznavati		poznavati, priznavati
uzrěti		ugleděti, uviděti
učarovany		očarovany, začarovany
učarovati		očarovati, začarovati
učarovyvati		očarovyvati
učebnik		područnik
učebny		edukacijny, obrazovateljny
učenik		školnik
učeničsky		školny
učeny		naučnik
učestje		uděl, učestničstvo
učestničstvo		uděl, učestje
učet		izčisljenje, konto, rahunok, sčet
učetovoditelj		buhhalter, knigovoditelj
učetovoditeljka		buhhalterka, knigovoditeljka
učilišče		škola
učinitelj		vinovnik
učiniti		izdělati, izrabiti, napraviti, sdělati
učinok		efekt
učitelj		instruktor
učtivy		galantny, ljubezny
uško		uho
už		uže
užas		postrah, strah
užasno		strašno
užasny		strašny
užasy		horor
uže		už
užiti		izkoristati, priměniti, upotrěbiti
uživanje		upotrěba, upotrěbjenje
uživati		koristati, koristiti, poljzovati, upotrěbjati
v		dovnutra, vnutri, vo
v domu		doma
v jedin denj		jednogo dnja
v koncu		konečno, nakonec, naposlěd, naposlědok
v odnošenju k		gledeči na, odnosno, po odnošenju k
v odrazlikě od		v protivnosti k, v različji od
v poredku		dobro
v protivnosti k		v odrazlikě od, v različji od
v prošlom godu		lanji
v različji od		v odrazlikě od, v protivnosti k
v směru strělky časovnika		po strělkě časovnika
v sumě		cělo, vsego
v tečenju		podčas, pri, v vrěmenu, v času, za
v tom samom vrěmenu		jednovrěmenno, jednočasno
v tutom momentu		nyně, segda, segdy, sejčas, tutčas
v vrěmenu		podčas, pri, v tečenju, v času, za
v vsakom slučaju		vo vsakom slučaju
v zaměn za		vměsto, zaměsto
v času		podčas, pri, v tečenju, v vrěmenu, za
vabik		primamka
vaga		težina, vagy
vagati se		kolěbati se
vagina		pohva
vagon		povoz
vagonetka		povoz, vozok
vagy		vaga
vajatelj		skulptor
vajati		modelovati
vakantny		voljny
vakuum		prazdnina
val		nasyp
vala		volna
valisty papugajek		volnisty papugajek
valtorna		lěsny rog
vampir		upyr
variti		kuhati
varjenje		travjenje
varlivy		travimy
važka		strekoza
važnost		značimost
važny		značimy, značny
vdečno		blagodarno
vdečnost		blagodarnost
vdečny		blagodarny
vdol		do dolu, na dol, vniz
veb-sajt		sajt, vebsajt
vebsajt		sajt, veb-sajt
vedly		vedneny
vedneny		vedly
vednuti		uvedati
velarny		zadnjepodnebny
velebny		veličstveny
velen		pergament
velika noč		velikdenj
velikan		gigant
velikdenj		velika noč
velikodušno		ščedro
velikodušnost		ščedrost
velikodušny		ščedry
velikolěpny		prěkrasny, prělěpy, razkošny, zahvačajuči
velikost		veličina, veličje
veliky		duži, ogromny, vely
veličejši		boljši, večši, vyše veliky
veličina		razměr, velikost
veličje		velikost
veličstveny		velebny
velje		duže, mnogo, silno, velmi
velmi		mnogo, silno, velje
velryb		kyt
vely		duži, ogromny, veliky
velžnost		mokrost, vlažnost, volgkost
velžny		vlažny, volgky
vena		žila
venozny		žilny
ventilator		větrak
verbalny		slovesny, slovny
verbovanje		nabor
verifikacija		prověrka
verifikovati		prověrjati
veriga		lancuh, lanec
verigy		okovy
versija		verzija
verzija		versija
verš		stih
ves		selo
vesde		vsamo, vsekde, vsudy
veseljanje		zabava, zabavjenje
veselogo rodženja!		veselyh svetkov!
veselost		radost, žovialnost
vesely		bodry, radostny, rady, žovialny
